,code,tradeStatus,code_name,isIndex,isSt
222,sh.600000,1,浦发银行,False,False
223,sh.600004,1,白云机场,False,False
224,sh.600006,1,东风汽车,False,False
225,sh.600007,1,中国国贸,False,False
226,sh.600008,1,首创股份,False,False
227,sh.600009,1,上海机场,False,False
228,sh.600010,1,包钢股份,False,False
229,sh.600011,1,华能国际,False,False
230,sh.600012,1,皖通高速,False,False
231,sh.600015,1,华夏银行,False,False
232,sh.600016,1,民生银行,False,False
233,sh.600017,1,日照港,False,False
234,sh.600018,1,上港集团,False,False
235,sh.600019,1,宝钢股份,False,False
236,sh.600020,1,中原高速,False,False
237,sh.600021,1,上海电力,False,False
238,sh.600022,1,山东钢铁,False,False
239,sh.600023,1,浙能电力,False,False
240,sh.600025,1,华能水电,False,False
241,sh.600026,1,中远海能,False,False
242,sh.600027,1,华电国际,False,False
243,sh.600028,1,中国石化,False,False
244,sh.600029,1,南方航空,False,False
245,sh.600030,1,中信证券,False,False
246,sh.600031,1,三一重工,False,False
247,sh.600033,1,福建高速,False,False
248,sh.600035,1,楚天高速,False,False
249,sh.600036,1,招商银行,False,False
250,sh.600037,1,歌华有线,False,False
251,sh.600038,1,中直股份,False,False
252,sh.600039,1,四川路桥,False,False
253,sh.600048,1,保利地产,False,False
254,sh.600050,1,中国联通,False,False
255,sh.600051,1,宁波联合,False,False
256,sh.600052,1,浙江广厦,False,False
257,sh.600053,1,九鼎投资,False,False
258,sh.600054,1,黄山旅游,False,False
259,sh.600055,1,万东医疗,False,False
260,sh.600056,1,中国医药,False,False
261,sh.600057,1,厦门象屿,False,False
262,sh.600058,1,五矿发展,False,False
263,sh.600059,1,古越龙山,False,False
264,sh.600060,1,海信视像,False,False
265,sh.600061,1,国投资本,False,False
266,sh.600062,1,华润双鹤,False,False
267,sh.600063,1,皖维高新,False,False
268,sh.600064,1,南京高科,False,False
269,sh.600066,1,宇通客车,False,False
270,sh.600067,1,冠城大通,False,False
271,sh.600068,1,葛洲坝,False,False
272,sh.600069,1,银鸽投资,False,False
273,sh.600070,1,浙江富润,False,False
274,sh.600071,1,凤凰光学,False,False
275,sh.600072,1,中船科技,False,False
276,sh.600073,1,上海梅林,False,False
278,sh.600075,1,新疆天业,False,False
279,sh.600076,1,康欣新材,False,False
280,sh.600077,1,宋都股份,False,False
281,sh.600078,1,澄星股份,False,False
282,sh.600079,1,人福医药,False,False
283,sh.600080,1,金花股份,False,False
284,sh.600081,1,东风科技,False,False
285,sh.600082,1,海泰发展,False,False
286,sh.600083,1,博信股份,False,False
288,sh.600085,1,同仁堂,False,False
289,sh.600086,1,东方金钰,False,False
290,sh.600088,1,中视传媒,False,False
291,sh.600089,1,特变电工,False,False
292,sh.600090,1,同济堂,False,False
294,sh.600093,1,易见股份,False,False
295,sh.600094,1,大名城,False,False
296,sh.600095,1,哈高科,False,False
297,sh.600096,1,云天化,False,False
298,sh.600097,1,开创国际,False,False
299,sh.600098,1,广州发展,False,False
300,sh.600099,1,林海股份,False,False
301,sh.600100,1,同方股份,False,False
302,sh.600101,1,明星电力,False,False
303,sh.600103,1,青山纸业,False,False
304,sh.600104,1,上汽集团,False,False
305,sh.600105,1,永鼎股份,False,False
306,sh.600106,1,重庆路桥,False,False
307,sh.600107,1,美尔雅,False,False
308,sh.600108,1,亚盛集团,False,False
309,sh.600109,1,国金证券,False,False
310,sh.600110,1,诺德股份,False,False
311,sh.600111,1,北方稀土,False,False
313,sh.600113,1,浙江东日,False,False
314,sh.600114,1,东睦股份,False,False
315,sh.600115,1,东方航空,False,False
316,sh.600116,1,三峡水利,False,False
317,sh.600117,1,西宁特钢,False,False
318,sh.600118,1,中国卫星,False,False
320,sh.600120,1,浙江东方,False,False
321,sh.600121,1,郑州煤电,False,False
322,sh.600122,1,宏图高科,False,False
323,sh.600123,1,兰花科创,False,False
324,sh.600125,1,铁龙物流,False,False
325,sh.600126,1,杭钢股份,False,False
326,sh.600127,1,金健米业,False,False
327,sh.600128,1,弘业股份,False,False
328,sh.600129,1,太极集团,False,False
329,sh.600130,1,波导股份,False,False
330,sh.600131,1,岷江水电,False,False
331,sh.600132,1,重庆啤酒,False,False
332,sh.600133,1,东湖高新,False,False
333,sh.600135,1,乐凯胶片,False,False
334,sh.600136,1,当代明诚,False,False
335,sh.600137,1,浪莎股份,False,False
336,sh.600138,1,中青旅,False,False
